PaddleX,ActionX,BallsData
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,-1,
-0.2999999,-1,
-0.5999998,-1,
-0.8999997,-1,
-1.2,-1,
-1.5,-1,
-1.799999,-1,
-2.099999,0,
-2.099999,0,
-2.099999,0,
-2.099999,0,
-2.099999,0,
-2.099999,0,
-2.099999,0,
-2.099999,0,
-2.099999,0,
-2.099999,1,
-1.799999,1,
-1.5,1,
-1.2,1,
-0.8999997,1,
-0.5999998,0,
-0.5999998,0,
-0.5999998,0,
-0.5999998,0,
-0.5999998,0,
-0.5999998,0,
-0.5999998,0,
-0.5999998,0,
-0.5999998,0,
-0.5999998,0,
-0.5999998,0,
-0.5999998,0,
-0.5999998,0,-2.553246:5.931915
-0.5999998,0,-2.553246:5.837073
-0.5999998,0,-2.553246:5.715415
-0.5999998,0,-2.553246:5.637343
-0.5999998,0,-2.553246:5.492487
-0.5999998,0,-2.553246:5.356547
-0.5999998,0,-2.553246:5.333003
-0.5999998,0,-2.553246:5.109685
-0.5999998,0,-2.553246:4.982914
-0.5999998,0,-2.553246:4.853882
-0.5999998,0,-2.553246:4.752333
-0.5999998,-1,-2.553246:4.562179
-0.8999997,-1,-2.553246:4.410341
-1.2,-1,-2.553246:4.264577
-1.5,-1,-2.553246:4.117973
-1.799999,-1,-2.553246:3.993941
-2.099999,-1,-2.553246:3.790203
-2.399999,-1,-2.553246:3.628211
-2.699999,0,-2.553246:3.457884
-2.699999,0,-2.553246:3.31398
-2.699999,0,-2.553246:3.09135
-2.699999,0,-2.553246:2.907044
-2.699999,0,-2.553246:2.80152
-2.699999,0,-2.553246:2.542217
-2.699999,0,-2.553246:2.341166
-2.699999,0,-2.553246:2.154306
-2.699999,0,-2.553246:1.938394
-2.699999,0,-2.553246:1.741464
-2.699999,0,-2.553246:1.541255
-2.699999,0,-2.553246:1.310909
-2.699999,0,-2.553246:1.09239
-2.699999,0,-2.553246:0.8736215
-2.699999,0,-2.553246:0.6500501
-2.699999,0,-2.553246:0.4122652
-2.699999,0,-2.553246:0.1784858
-2.699999,0,-2.553246:-0.04145852
-2.699999,0,-2.553246:-0.2844509
-2.699999,0,-2.553246:-0.5309978
-2.699999,0,-2.553246:-0.7793486
-2.699999,0,-2.553246:-1.031138
-2.699999,0,-2.553246:-1.291586
-2.699999,0,-2.553246:-1.555108
-2.699999,0,-2.553246:-1.82033
-2.699999,0,-2.553246:-2.097809
-2.699999,0,-2.553246:-2.352885
-2.699999,0,-2.553246:-2.632772
-2.699999,0,-2.553246:-2.915495
